"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Watch: Sidhu Moose Wala's unreleased song 'SYL' released today with music video""","https://www.freepressjournal.in/entertainment/watch-sidhu-moose-walas-unreleased-song-syl-released-today-with-music-video","2022-06-23 16:46:53","","The Free Press Journal","India","Top","English","","https://gumlet.assettype.com/freepressjournal/2022-05/3c2efc40-0412-40c5-b898-267b805ae1e3/sidhu.webp",""
"""No time to prepare, dates clashing with CUET: MBBS aspirants demand postponement of NEET""","https://www.freepressjournal.in/education/no-time-to-prepare-dates-clashing-with-cuet-mbbs-aspirants-demand-postponement-of-neet","2022-06-23 15:05:36","","The Free Press Journal","India","Top","English","","https://gumlet.assettype.com/freepressjournal/2022-05/8a8d7f93-e68f-466c-b2de-d0a083e99d54/2021_Twitter_logo___blue.png",""
"""Let’s chat about some significant benefits of Nfts""","https://www.techgenyz.com/2022/06/23/significant-benefits-of-nfts/","2022-06-23 10:50:35","Contributor","Techgenyz","India","Top","English","The digital market is growing, and there are several ways to make a profit without facing any issues. In this world of the internet, many things take place regularly, and nowadays, there is one platform trending everywhere: NFT. If you are a person who has an excellent knowledge of art and also has creative ideas, […]","",""
"""Sri Lanka women vs India women, 1st T20I match Live Streaming in Dambulla""","https://www.firstpost.com/firstcricket/sports-news/live-cricket-score-sri-lanka-women-vs-india-women-1st-t20i-live-update-sl-w-vs-ind-w-10825661.html","2022-06-23 06:14:17","FirstCricket Staff","Firstpost","India","Sports","English","Sri Lanka women vs India women, 1st T20I match Live Streaming in Dambulla","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2022/06/INDW-vs-SLW-LIVE-640.jpg",""
"""Ranji Trophy final: Sarfaraz Khan slams century to continue sensational season""","https://www.firstpost.com/firstcricket/sports-news/ranji-trophy-final-sarfaraz-khan-slams-century-to-continue-sensational-season-10826501.html","2022-06-23 06:11:56","FirstCricket Staff","Firstpost","India","Sports","English","Ranji Trophy final: Sarfaraz Khan slams century to continue sensational season","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2022/06/Sarfaraz-640.jpg",""
"""How obesity and hypertension heighten risks of kidney cancer""","https://www.firstpost.com/opinion/how-obesity-and-hypertension-heighten-risks-of-kidney-cancer-10826591.html","2022-06-23 06:02:20","Dr Sanjay Garg","Firstpost","India","Health","English","How obesity and hypertension heighten risks of kidney cancer","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2021/03/kidney.jpg",""
"""On This Day: MS Dhoni leads India to Champions Trophy glory in 2013""","https://www.firstpost.com/firstcricket/sports-news/on-this-day-ms-dhoni-leads-india-to-champions-trophy-glory-in-2013-10826551.html","2022-06-23 05:20:15","FP Trending","Firstpost","India","Sports","English","On This Day: MS Dhoni leads India to Champions Trophy glory in 2013","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2022/06/India-Champions-Trophy-2013-Getty-social.jpg",""
"""Ranji Trophy final: 'We trust our umpires' says BCCI in absence of DRS""","https://www.firstpost.com/firstcricket/sports-news/ranji-trophy-final-we-trust-our-umpires-says-bcci-in-absence-of-drs-10826521.html","2022-06-23 05:08:10","FirstCricket Staff","Firstpost","India","Sports","English","Ranji Trophy final: 'We trust our umpires' says BCCI in absence of DRS","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2022/06/Mumbai-MP-Twitter-640.jpg",""
"""International Olympic Day 2022: Theme, history, significance and all you need to know""","https://www.firstpost.com/sports/international-olympic-day-2022-theme-history-significance-and-all-you-need-to-know-10823481.html","2022-06-23 05:07:10","FP Trending","Firstpost","India","Sports","English","International Olympic Day 2022: Theme, history, significance and all you need to know","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2022/06/olympics.jpg",""
"""International Olympics Day 2022: Remembering some of India's greatest Olympians""","https://www.firstpost.com/sports/international-olympics-day-2022-remembering-some-of-indias-greatest-olympians-10823381.html","2022-06-23 04:13:29","FP Trending","Firstpost","India","Sports","English","International Olympics Day 2022: Remembering some of India's greatest Olympians","https://images.firstpost.com/fpimages/380x285/fixed/jpg/2021/08/Neeraj-Chopra-gold-medal-javelin-Tokyo-2020-AP-640.jpg",""
